% A shar archive of data from the book Data Analysis: An
% Introduction(1992) Prentice Hall bu Jeff Witmer. Submitted by
% Jeff Witmer (fwitmer@ocvaxa.cc.oberlin.edu) [28/Jun/94] (29
% kbytes)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/witmer/DATA_FILES/Draft_lottery
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation witmer-Draft_lottery

@attribute BIRTHDAY INTEGER
@attribute NUMBER INTEGER

@data
1,305
2,159
3,251
4,215
5,101
6,224
7,306
8,199
9,194
10,325
11,329
12,221
13,318
14,238
15,17
16,121
17,235
18,140
19,58
20,280
21,186
22,337
23,118
24,59
25,52
26,92
27,355
28,77
29,349
30,164
31,211
32,86
33,144
34,297
35,210
36,214
37,347
38,91
39,181
40,338
41,216
42,150
43,68
44,152
45,4
46,89
47,212
48,189
49,292
50,25
51,302
52,363
53,290
54,57
55,236
56,179
57,365
58,205
59,299
60,285
61,108
62,29
63,267
64,275
65,293
66,139
67,122
68,213
69,317
70,323
71,136
72,300
73,259
74,354
75,169
76,166
77,33
78,332
79,200
80,239
81,334
82,265
83,256
84,258
85,343
86,170
87,268
88,223
89,362
90,217
91,30
92,32
93,271
94,83
95,81
96,269
97,253
98,147
99,312
100,219
101,218
102,14
103,346
104,124
105,231
106,273
107,148
108,260
109,90
110,336
111,345
112,62
113,316
114,252
115,2
116,351
117,340
118,74
119,262
120,191
121,208
122,330
123,298
124,40
125,276
126,364
127,155
128,35
129,321
130,197
131,65
132,37
133,133
134,295
135,178
136,130
137,55
138,112
139,278
140,75
141,183
142,250
143,326
144,319
145,31
146,361
147,357
148,296
149,308
150,226
151,103
152,313
153,249
154,228
155,301
156,20
157,28
158,110
159,85
160,366
161,335
162,206
163,134
164,272
165,69
166,356
167,180
168,274
169,73
170,341
171,104
172,360
173,60
174,247
175,109
176,358
177,137
178,22
179,64
180,222
181,353
182,209
183,93
184,350
185,115
186,279
187,188
188,327
189,50
190,13
191,277
192,284
193,248
194,15
195,42
196,331
197,322
198,120
199,98
200,190
201,227
202,187
203,27
204,153
205,172
206,23
207,67
208,303
209,289
210,88
211,270
212,287
213,193
214,111
215,45
216,261
217,145
218,54
219,114
220,168
221,48
222,106
223,21
224,324
225,142
226,307
227,198
228,102
229,44
230,154
231,141
232,311
233,344
234,291
235,339
236,116
237,36
238,286
239,245
240,352
241,167
242,61
243,333
244,11
245,225
246,161
247,49
248,232
249,82
250,6
251,8
252,184
253,263
254,71
255,158
256,242
257,175
258,1
259,113
260,207
261,255
262,246
263,177
264,63
265,204
266,160
267,119
268,195
269,149
270,18
271,233
272,257
273,151
274,315
275,359
276,125
277,244
278,202
279,24
280,87
281,234
282,283
283,342
284,220
285,237
286,72
287,138
288,294
289,171
290,254
291,288
292,5
293,241
294,192
295,243
296,117
297,201
298,196
299,176
300,7
301,264
302,94
303,229
304,38
305,79
306,19
307,34
308,348
309,266
310,310
311,76
312,51
313,97
314,80
315,282
316,46
317,66
318,126
319,127
320,131
321,107
322,143
323,146
324,203
325,185
326,156
327,9
328,182
329,230
330,132
331,309
332,47
333,281
334,99
335,174
336,129
337,328
338,157
339,165
340,56
341,10
342,12
343,105
344,43
345,41
346,39
347,314
348,163
349,26
350,320
351,96
352,304
353,128
354,240
355,135
356,70
357,53
358,162
359,95
360,84
361,173
362,78
363,123
364,16
365,3
366,100
