% A shar archive of data from the book Data Analysis: An
% Introduction(1992) Prentice Hall bu Jeff Witmer. Submitted by
% Jeff Witmer (fwitmer@ocvaxa.cc.oberlin.edu) [28/Jun/94] (29
% kbytes)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/witmer/DATA_FILES/Oberlin_temp_1988
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation witmer-Oberlin_temp_1988

@attribute TEMP INTEGER
@attribute MONTH INTEGER
@attribute DAY INTEGER

@data
39,1,1
24,1,2
27,1,3
34,1,4
23,1,5
8,1,6
14,1,7
19,1,8
24,1,9
23,1,10
22,1,11
36,1,12
48,1,13
25,1,14
19,1,15
35,1,16
50,1,17
44,1,18
40,1,19
53,1,20
55,1,21
31,1,22
29,1,23
37,1,24
38,1,25
38,1,26
17,1,27
18,1,28
25,1,29
49,1,30
54,1,31
59,2,32
40,2,33
28,2,34
31,2,35
31,2,36
13,2,37
8,2,38
24,2,39
27,2,40
31,2,41
25,2,42
36,2,43
18,2,44
17,2,45
44,2,46
35,2,47
35,2,48
42,2,49
43,2,50
40,2,51
38,2,52
38,2,53
58,2,54
37,2,55
29,2,56
27,2,57
42,2,58
31,2,59
45,2,60
43,3,61
43,3,62
47,3,63
30,3,64
29,3,65
38,3,66
44,3,67
48,3,68
64,3,69
49,3,70
39,3,71
55,3,72
52,3,73
33,3,74
31,3,75
29,3,76
34,3,77
38,3,78
37,3,79
40,3,80
27,3,81
29,3,82
56,3,83
72,3,84
64,3,85
57,3,86
60,3,87
41,3,88
62,3,89
76,3,90
50,3,91
53,4,92
62,4,93
67,4,94
63,4,95
62,4,96
80,4,97
73,4,98
39,4,99
44,4,100
50,4,101
54,4,102
55,4,103
64,4,104
65,4,105
61,4,106
40,4,107
49,4,108
67,4,109
44,4,110
46,4,111
58,4,112
49,4,113
55,4,114
78,4,115
51,4,116
57,4,117
65,4,118
51,4,119
46,4,120
49,4,121
63,5,122
65,5,123
64,5,124
56,5,125
60,5,126
59,5,127
71,5,128
69,5,129
83,5,130
76,5,131
71,5,132
62,5,133
76,5,134
74,5,135
69,5,136
87,5,137
71,5,138
62,5,139
60,5,140
61,5,141
66,5,142
77,5,143
83,5,144
81,5,145
69,5,146
56,5,147
75,5,148
82,5,149
85,5,150
89,5,151
89,5,152
90,6,153
89,6,154
62,6,155
62,6,156
71,6,157
83,6,158
91,6,159
90,6,160
73,6,161
61,6,162
65,6,163
80,6,164
89,6,165
92,6,166
95,6,167
93,6,168
66,6,169
74,6,170
85,6,171
90,6,172
96,6,173
96,6,174
97,6,175
75,6,176
83,6,177
104,6,178
73,6,179
77,6,180
80,6,181
72,6,182
68,7,183
74,7,184
80,7,185
87,7,186
91,7,187
95,7,188
97,7,189
100,7,190
98,7,191
96,7,192
92,7,193
86,7,194
83,7,195
91,7,196
96,7,197
96,7,198
100,7,199
85,7,200
91,7,201
82,7,202
80,7,203
82,7,204
83,7,205
83,7,206
84,7,207
84,7,208
82,7,209
87,7,210
89,7,211
94,7,212
89,7,213
83,8,214
92,8,215
96,8,216
94,8,217
92,8,218
92,8,219
86,8,220
87,8,221
90,8,222
89,8,223
87,8,224
92,8,225
94,8,226
92,8,227
93,8,228
86,8,229
89,8,230
100,8,231
81,8,232
74,8,233
78,8,234
77,8,235
77,8,236
70,8,237
79,8,238
82,8,239
74,8,240
79,8,241
67,8,242
72,8,243
72,8,244
76,9,245
80,9,246
83,9,247
68,9,248
73,9,249
59,9,250
61,9,251
68,9,252
75,9,253
78,9,254
80,9,255
80,9,256
76,9,257
70,9,258
76,9,259
70,9,260
77,9,261
79,9,262
83,9,263
76,9,264
74,9,265
59,9,266
74,9,267
71,9,268
67,9,269
70,9,270
73,9,271
80,9,272
66,9,273
77,9,274
81,10,275
82,10,276
67,10,277
61,10,278
59,10,279
54,10,280
54,10,281
57,10,282
60,10,283
59,10,284
60,10,285
53,10,286
46,10,287
47,10,288
65,10,289
74,10,290
68,10,291
65,10,292
58,10,293
53,10,294
54,10,295
46,10,296
46,10,297
49,10,298
43,10,299
47,10,300
43,10,301
55,10,302
45,10,303
46,10,304
44,10,305
51,11,306
51,11,307
44,11,308
58,11,309
63,11,310
53,11,311
37,11,312
47,11,313
48,11,314
60,11,315
52,11,316
39,11,317
50,11,318
49,11,319
60,11,320
65,11,321
70,11,322
45,11,323
53,11,324
47,11,325
47,11,326
40,11,327
39,11,328
42,11,329
52,11,330
58,11,331
64,11,332
53,11,333
34,11,334
44,11,335
37,12,336
32,12,337
39,12,338
54,12,339
37,12,340
42,12,341
54,12,342
41,12,343
35,12,344
24,12,345
27,12,346
19,12,347
25,12,348
34,12,349
45,12,350
27,12,351
22,12,352
22,12,353
30,12,354
54,12,355
60,12,356
37,12,357
51,12,358
54,12,359
44,12,360
30,12,361
43,12,362
57,12,363
27,12,364
19,12,365
33,12,366
