% A shar archive of data from the book Data Analysis: An
% Introduction(1992) Prentice Hall bu Jeff Witmer. Submitted by
% Jeff Witmer (fwitmer@ocvaxa.cc.oberlin.edu) [28/Jun/94] (29
% kbytes)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/witmer/DATA_FILES/Shaw_and_Wells
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation witmer-Shaw_and_Wells

@attribute SHAW INTEGER
@attribute WELLS INTEGER

@data
3,2
3,3
4,3
4,4
4,4
5,4
5,4
5,4
5,5
5,5
5,5
5,6
5,6
5,6
5,6
5,6
5,7
5,7
5,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
7,7
7,7
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,9
8,9
8,9
8,9
8,9
8,9
9,9
9,9
9,9
9,9
9,9
9,9
9,10
9,10
9,10
9,10
9,10
9,10
9,10
9,10
9,10
9,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,11
10,11
10,11
10,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
12,12
12,12
12,12
12,12
12,12
12,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
13,12
14,12
14,12
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,13
15,14
15,14
15,14
15,14
15,14
15,14
15,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
17,14
17,14
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,16
18,16
18,16
18,16
18,16
18,16
18,16
18,16
18,16
18,16
18,16
18,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
19,16
20,16
20,16
20,16
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
20,17
21,17
21,17
21,17
21,17
21,17
21,17
21,17
21,17
21,17
21,18
21,18
21,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,18
22,19
23,19
23,19
23,19
23,19
23,19
23,19
23,19
23,19
23,19
23,19
23,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
24,19
25,19
25,19
25,19
25,20
25,20
25,20
25,20
25,20
25,20
25,20
25,20
25,20
25,20
26,20
26,20
26,20
26,20
26,20
26,20
26,20
26,20
26,20
26,20
27,20
27,20
27,20
27,20
27,20
27,21
27,21
27,21
27,21
27,21
27,21
27,21
27,21
28,21
28,21
28,21
28,21
28,21
28,21
28,21
28,21
28,21
28,21
28,22
28,22
28,22
28,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,23
29,23
29,23
29,23
29,23
29,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
30,23
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,24
31,25
31,25
31,25
31,25
32,25
32,25
32,25
32,25
32,25
32,25
32,25
32,25
32,25
33,25
33,26
33,26
33,26
33,26
33,26
33,26
33,26
33,26
34,26
34,26
34,26
34,26
34,26
34,26
34,26
34,26
34,26
34,27
34,27
35,27
35,27
35,27
35,27
35,27
35,28
35,28
35,28
35,28
35,28
35,28
35,28
36,28
36,28
36,28
36,28
36,29
37,29
37,29
37,29
37,29
37,29
37,29
38,29
38,29
38,29
38,29
38,29
39,29
39,29
39,29
39,30
39,30
39,30
39,30
39,30
39,30
40,30
40,30
40,30
40,30
40,30
41,31
41,31
41,31
41,31
41,31
42,31
42,31
42,31
42,31
42,31
42,31
43,31
43,31
43,31
43,31
43,31
43,32
43,32
44,32
44,32
44,32
44,32
44,32
45,32
45,33
45,33
45,33
45,33
46,33
46,33
46,33
46,34
46,34
46,34
46,34
46,34
47,34
47,34
47,34
47,34
48,34
48,34
48,34
48,35
48,35
49,35
49,35
49,35
50,35
50,35
50,35
50,35
51,36
51,36
51,36
51,36
51,36
51,36
51,36
51,37
51,37
52,37
52,37
52,37
52,37
52,38
52,38
52,38
53,38
53,38
53,39
53,39
53,39
53,39
53,39
53,40
53,40
53,40
54,40
54,41
54,41
54,41
54,41
54,41
54,41
54,41
55,42
55,42
56,42
57,42
57,42
57,42
57,43
57,43
58,43
58,43
58,43
58,43
59,44
59,44
59,44
60,44
60,45
60,45
61,45
62,45
63,45
63,45
64,46
64,46
64,46
65,46
65,46
66,47
66,47
67,47
67,47
70,47
70,48
72,48
72,49
72,50
73,50
73,50
74,50
75,51
76,52
76,52
76,52
76,52
77,52
79,54
80,54
81,54
81,54
81,55
82,55
83,56
83,56
83,56
84,58
84,58
86,60
87,60
87,60
90,61
90,63
96,63
96,63
98,63
99,66
108,68
108,69
111,70
115,71
141,71
143,74
?,79
