STAFF_ID;HOME_INSTITUTION_ID;HOME_INSTITUTION_CTRY_CD;ENTERPRISE_NAME;ENTERPRISE_SIZE_VALUE;ENTERPRISE_TYPE_CD;ENTERPRISE_CTRY_CD;TEACHER_GENDER_CD;TEACHER_NATIONALITY_CD;TEACHER_TEACHING_AREA_CD;TEACHER_SENIORITY_CD;HOST_INSTITUTION_CODE;HOST_INSTITUTION_CTRY_CD;HOST_SUBJECT_AREA_CD;TEACHER_LENGTH_DAYS_VALUE;TEACHER_LENGHT_HRS_VALUE;TEACHER_VISIT_START_DATE;TEACHING_LEVEL_CD;TEACHING_LANGUAGE_CD;TEACHER_SPECIAL_NEEDS_GRT_AMT;TEACHER_SUBSISTANCE_GRT_AMT;TEACHER_TRAVEL_COST_AMT;TEACHER_TOTAL_GRT_AMT;TEACHER_FIRST_VISIT_FLAG;ENTERPRISE_WORK_CAT_CD
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;I;PL WROCLAW01;PL;380;2;8;Nov-12;2;ES;0;240;0;240;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;813;I;F  ROUEN01;FR;813;5;5;Oct-12;M;FR;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;S;PL WROCLAW01;PL;380;3;6;Oct-12;2;ES;0;360;0;360;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;421;S;UK YORK01;UK;421;5;5;Dec-12;M;EN;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;DE;222;J;D  HEIDELB01;DE;222;5;5;Dec-12;M;EN;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;IT;144;J;I  ROMA16;IT;144;5;5;Dec-12;1;IT;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;314;I;F  PARIS009;FR;314;2;10;Oct-12;2;EN;0;240;0;240;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;813;I;F  ROUEN01;FR;813;5;5;Oct-12;M;FR;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;S;TR ISTANBU03;TR;380;5;7;Oct-12;1;EN;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;226;S;HU SZEGED01;HU;226;5;15;Sep-12;M;EN;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;380;S;I  SIENA01;IT;380;3;10;Jul-12;M;ES;0;360;0;360;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;143;J;P  COIMBRA01;PT;143;5;5;Dec-12;M;PT;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;222;J;SF HELSINK01;FI;222;5;10;Sep-12;M;EN;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;340;I;UK LONDON005;UK;340;5;5;Sep-12;M;EN;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;222;S;P  COIMBRA01;PT;222;5;5;Sep-12;1;ES;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;144;I;F  PARIS005;FR;144;5;15;Nov-12;M;FR;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;443;S;P  LISBOA02;PT;443;5;5;Jul-12;M;EN;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;380;I;PL WROCLAW01;PL;380;3;8;Nov-12;M;ES;0;360;0;360;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;314;J;F  PARIS009;FR;314;3;15;Nov-12;2;FR;0;360;0;360;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;143;J;P  COIMBRA01;PT;143;5;5;Dec-12;M;PT;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;380;I;I  MACERAT01;IT;380;5;12;Oct-12;3;IT;0;600;0;600;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;222;I;I  MILANO01;IT;222;5;5;Oct-12;2;ES;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;I;PL WROCLAW01;PL;380;3;8;Dec-12;2;ES;0;360;0;360;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;I;TR ISTANBU03;TR;380;3;6;Nov-12;M;EN;0;360;0;360;Y;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;443;S;B  BRUSSEL01;BENL;443;4;12;Sep-12;2;EN;0;480;0;480;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;222;S;PL WARSZAW01;PL;222;5;5;Nov-12;M;FR;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;813;I;P  PORTO02;PT;813;4;5;Dec-12;M;ES;0;480;0;480;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;813;I;P  FUNCHAL03;PT;813;5;6;Oct-12;M;PT;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;143;I;P  PORTO21;PT;143;3;15;Oct-12;2;ES;0;360;0;360;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;442;S;I  PERUGIA01;IT;442;5;9;Sep-12;2;EN;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;222;J;I  VENEZIA01;IT;222;5;8;Oct-12;3;ES;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;222;J;I  BOLOGNA01;IT;222;5;8;Dec-12;M;ES;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;226;I;F  STRASBO48;FR;226;5;6;Dec-12;M;FR;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;380;I;PL WROCLAW01;PL;380;3;7;Feb-13;3;ES;0;360;0;360;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;M;ES;143;I;NL S-GRAVE13;NL;143;5;25;Apr-13;1;EN;0;600;0;600;N;?
-1;E  MADRID04;ES; ? Unknown ?;?;???;???;F;ES;340;J;D  PFORZHE01;DE;343;5;5;May-13;1;ES;0;600;0;600;N;?
-1;E  BADAJOZ04;ES; ? Unknown ?;?;???;???;M;ES;212;I;I  PADOVA02;IT;212;5;20;Oct-12;1;FR;0;600;0;600;Y;?
