dataset,target,encoder,model,features,fit_time,score_time,test_accuracy,train_accuracy,test_f1_macro,train_f1_macro,test_log_loss,train_log_loss,test_auc,train_auc,test_brier,train_brier,test_matthews,train_matthews,test_kappa,train_kappa,original_df_mem,encoded_df_mem,blank_encoder_mem,trained_encoder_mem,fit_encoder_time,score_encoder_time
arrhythmia.arff,class,BaseNEncoder,DecisionTreeClassifier,279,0.0580632,0.0369539,0.789741,1,0.807819,1,7.26209,0.000000000000000999,0.78756,1,0.210259,0,0.579076,1,0.575525,1,3254.4,3254.4,1528,2064,0.000415683,0.0000117
arrhythmia.arff,class,BaseNEncoder,GaussianNB,279,0.0152556,0.038076,0.672657,0.716814,0.761205,0.792894,11.1743,9.69967,0.64625,0.69082,0.327343,0.283186,0.379232,0.500646,0.306258,0.40085,3254.4,3254.4,1528,2064,0.000312304,0.0000106
arrhythmia.arff,class,BaseNEncoder,GradientBoostingClassifier,279,0.526781,0.0344651,0.84339,0.996556,0.860595,0.996837,0.391207,0.0909768,0.838607,0.996239,0.15661,0.00344405,0.690598,0.993089,0.682113,0.993057,3254.4,3254.4,1528,2064,0.000381589,0.0000125
arrhythmia.arff,class,BaseNEncoder,KNeighborsClassifier,279,0.0155699,0.102933,0.646179,0.726165,0.741215,0.792195,3.367,0.469607,0.619405,0.704452,0.353821,0.273835,0.315761,0.488404,0.250621,0.425708,3254.4,3254.4,1528,2064,0.00039897,0.0000132
arrhythmia.arff,class,BaseNEncoder,LogisticRegression,279,0.0673853,0.03747,0.737073,0.947638,0.765116,0.952597,0.74241,0.163417,0.73175,0.945536,0.262927,0.0523622,0.473846,0.894971,0.466925,0.894161,3254.4,3254.4,1528,2064,0.000391746,0.0000116
arrhythmia.arff,class,BaseNEncoder,MLPClassifier,279,1.07396,0.0381476,0.750167,0.988427,0.77321,0.989401,0.661674,0.064248,0.746571,0.988034,0.249833,0.0115727,0.499782,0.976775,0.494798,0.976659,3254.4,3254.4,1528,2064,0.000390792,0.0000114
arrhythmia.arff,class,BaseNEncoder,RandomForestClassifier,279,0.0429939,0.0394096,0.789444,0.991888,0.799066,0.992496,0.623263,0.141548,0.790345,0.9921,0.210556,0.00811238,0.582095,0.983698,0.578249,0.983668,3254.4,3254.4,1528,2064,0.000317955,0.0000108
arrhythmia.arff,class,BaseNEncoder,SGDClassifier,279,0.0227576,0.0466855,0.72823,0.870688,0.742319,0.879702,9.3866,4.45041,0.728107,0.870435,0.27177,0.129312,0.457814,0.740494,0.454858,0.73992,3254.4,3254.4,1528,2064,0.000552297,0.0000126
arrhythmia.arff,class,BaseNEncoder,SVC,279,0.363389,0.0531347,0.688463,0.967798,0.711521,0.97058,0.579505,0.449148,0.685321,0.966674,0.311537,0.032202,0.380363,0.93535,0.37223,0.935021,3254.4,3254.4,1528,2064,0.000339961,0.0000124
arrhythmia.arff,class,BinaryEncoder,DecisionTreeClassifier,279,0.0534535,0.0329647,0.780806,1,0.800031,1,7.5707,0.000000000000000999,0.778619,1,0.219194,0,0.561483,1,0.557216,1,3254.4,3254.4,1280,1720,0.000369048,0.0000104
arrhythmia.arff,class,BinaryEncoder,GaussianNB,279,0.0154936,0.0380143,0.672657,0.716814,0.761205,0.792894,11.1743,9.69967,0.64625,0.69082,0.327343,0.283186,0.379232,0.500646,0.306258,0.40085,3254.4,3254.4,1280,1720,0.000370812,0.0000109
arrhythmia.arff,class,BinaryEncoder,GradientBoostingClassifier,279,0.535379,0.03707,0.836673,0.995817,0.855463,0.996162,0.395497,0.0916936,0.831262,0.995433,0.163327,0.00418296,0.677088,0.991614,0.668069,0.991566,3254.4,3254.4,1280,1720,0.00038414,0.0000106
arrhythmia.arff,class,BinaryEncoder,KNeighborsClassifier,279,0.0147036,0.0967793,0.646179,0.726165,0.741215,0.792195,3.367,0.469607,0.619405,0.704452,0.353821,0.273835,0.315761,0.488404,0.250621,0.425708,3254.4,3254.4,1280,1720,0.000328326,0.0000129
arrhythmia.arff,class,BinaryEncoder,LogisticRegression,279,0.0768662,0.0411705,0.737073,0.947638,0.765116,0.952597,0.74241,0.163417,0.73175,0.945536,0.262927,0.0523622,0.473846,0.894971,0.466925,0.894161,3254.4,3254.4,1280,1720,0.000414371,0.0000116
arrhythmia.arff,class,BinaryEncoder,MLPClassifier,279,0.845164,0.0356159,0.752435,0.986957,0.772202,0.988012,0.619876,0.0794874,0.7495,0.98672,0.247565,0.0130427,0.506105,0.973759,0.500587,0.973711,3254.4,3254.4,1280,1720,0.00034306,0.0000103
arrhythmia.arff,class,BinaryEncoder,RandomForestClassifier,279,0.0428246,0.0412996,0.772354,0.992631,0.782262,0.993185,0.80525,0.144703,0.773357,0.992743,0.227646,0.00736863,0.547838,0.985227,0.544001,0.985165,3254.4,3254.4,1280,1720,0.000379419,0.000012
arrhythmia.arff,class,BinaryEncoder,SGDClassifier,279,0.0173955,0.0349724,0.72561,0.85692,0.738594,0.867311,9.47708,4.92572,0.725643,0.856203,0.27439,0.14308,0.455434,0.713256,0.450162,0.712043,3254.4,3254.4,1280,1720,0.000390792,0.0000112
arrhythmia.arff,class,BinaryEncoder,SVC,279,0.377452,0.0542967,0.688463,0.967798,0.711521,0.97058,0.582135,0.455184,0.685321,0.966674,0.311537,0.032202,0.380363,0.93535,0.37223,0.935021,3254.4,3254.4,1280,1720,0.000338078,0.0000113
arrhythmia.arff,class,HashingEncoder,DecisionTreeClassifier,279,0.0589353,0.0434125,0.773887,1,0.791679,1,7.80968,0.000000000000000999,0.772226,1,0.226113,0,0.549239,1,0.544051,1,3254.4,3254.4,944,992,0.000259495,0.0000196
arrhythmia.arff,class,HashingEncoder,GaussianNB,279,0.0157238,0.0405477,0.672657,0.716814,0.761205,0.792894,11.1743,9.69967,0.64625,0.69082,0.327343,0.283186,0.379232,0.500646,0.306258,0.40085,3254.4,3254.4,944,992,0.000279713,0.0000108
arrhythmia.arff,class,HashingEncoder,GradientBoostingClassifier,279,0.545379,0.037112,0.845466,0.996063,0.862032,0.996386,0.391697,0.090553,0.840786,0.995702,0.154534,0.00393726,0.694249,0.992106,0.686404,0.992062,3254.4,3254.4,944,992,0.000232434,0.000012
arrhythmia.arff,class,HashingEncoder,KNeighborsClassifier,279,0.0150144,0.0999487,0.646179,0.726165,0.741215,0.792195,3.367,0.469607,0.619405,0.704452,0.353821,0.273835,0.315761,0.488404,0.250621,0.425708,3254.4,3254.4,944,992,0.000238633,0.0000139
arrhythmia.arff,class,HashingEncoder,LogisticRegression,279,0.0638355,0.0339016,0.737073,0.947638,0.765116,0.952597,0.74241,0.163417,0.73175,0.945536,0.262927,0.0523622,0.473846,0.894971,0.466925,0.894161,3254.4,3254.4,944,992,0.000276113,0.0000106
arrhythmia.arff,class,HashingEncoder,MLPClassifier,279,0.827876,0.0392454,0.74152,0.986703,0.762756,0.987946,0.653986,0.0813597,0.738798,0.98611,0.25848,0.0132969,0.48105,0.973445,0.478416,0.973129,3254.4,3254.4,944,992,0.000238848,0.0000107
arrhythmia.arff,class,HashingEncoder,RandomForestClassifier,279,0.043565,0.0451447,0.744433,0.992876,0.754285,0.993394,0.664865,0.149303,0.745107,0.99322,0.255567,0.00712353,0.49308,0.985729,0.488592,0.985665,3254.4,3254.4,944,992,0.000219345,0.0000109
arrhythmia.arff,class,HashingEncoder,SGDClassifier,279,0.0166702,0.0346162,0.714998,0.865062,0.72758,0.875588,9.84363,4.64531,0.714619,0.864038,0.285002,0.134938,0.436402,0.728465,0.429147,0.728167,3254.4,3254.4,944,992,0.000295234,0.0000109
arrhythmia.arff,class,HashingEncoder,SVC,279,0.367577,0.0534903,0.688463,0.967798,0.711521,0.97058,0.580695,0.456669,0.685321,0.966674,0.311537,0.032202,0.380363,0.93535,0.37223,0.935021,3254.4,3254.4,944,992,0.000259519,0.0000114
arrhythmia.arff,class,LeaveOneOutEncoder,DecisionTreeClassifier,279,0.0536309,0.0332494,0.771864,1,0.784951,1,7.87953,0.000000000000000999,0.772119,1,0.228136,0,0.547159,1,0.541853,1,3254.4,3254.4,1320,1616,0.00059042,0.0000165
arrhythmia.arff,class,LeaveOneOutEncoder,GaussianNB,279,0.0143645,0.036383,0.672657,0.716814,0.761205,0.792894,11.1743,9.69967,0.64625,0.69082,0.327343,0.283186,0.379232,0.500646,0.306258,0.40085,3254.4,3254.4,1320,1616,0.00051074,0.00000997
arrhythmia.arff,class,LeaveOneOutEncoder,GradientBoostingClassifier,279,0.502717,0.0336887,0.84339,0.996309,0.860383,0.996611,0.385987,0.0907202,0.838524,0.995971,0.15661,0.00369096,0.690404,0.992597,0.682091,0.992559,3254.4,3254.4,1320,1616,0.000521851,0.00000968
arrhythmia.arff,class,LeaveOneOutEncoder,KNeighborsClassifier,279,0.0141731,0.0967309,0.646179,0.726165,0.741215,0.792195,3.367,0.469607,0.619405,0.704452,0.353821,0.273835,0.315761,0.488404,0.250621,0.425708,3254.4,3254.4,1320,1616,0.000537467,0.00000982
arrhythmia.arff,class,LeaveOneOutEncoder,LogisticRegression,279,0.0632421,0.0348645,0.737073,0.947638,0.765116,0.952597,0.74241,0.163417,0.73175,0.945536,0.262927,0.0523622,0.473846,0.894971,0.466925,0.894161,3254.4,3254.4,1320,1616,0.000521255,0.0000112
arrhythmia.arff,class,LeaveOneOutEncoder,MLPClassifier,279,0.895793,0.0373469,0.737271,0.991151,0.761618,0.991875,0.650401,0.0695575,0.732988,0.990922,0.262729,0.00884888,0.475826,0.98236,0.468217,0.982161,3254.4,3254.4,1320,1616,0.000461435,0.0000216
arrhythmia.arff,class,LeaveOneOutEncoder,RandomForestClassifier,279,0.0420655,0.0403522,0.765635,0.988451,0.774457,0.989302,0.779495,0.145206,0.767155,0.988765,0.234365,0.0115486,0.537639,0.976822,0.531137,0.976756,3254.4,3254.4,1320,1616,0.000528812,0.00000989
arrhythmia.arff,class,LeaveOneOutEncoder,SGDClassifier,279,0.0153676,0.0339107,0.727892,0.874401,0.75041,0.884131,9.39828,4.33819,0.724405,0.873415,0.272108,0.125599,0.456987,0.747851,0.450519,0.746998,3254.4,3254.4,1320,1616,0.000560427,0.00000956
arrhythmia.arff,class,LeaveOneOutEncoder,SVC,279,0.369932,0.054888,0.688463,0.967798,0.711521,0.97058,0.579436,0.447179,0.685321,0.966674,0.311537,0.032202,0.380363,0.93535,0.37223,0.935021,3254.4,3254.4,1320,1616,0.000701356,0.00000989
arrhythmia.arff,class,OneHotEncoder,DecisionTreeClassifier,279,0.055483,0.0381933,0.783272,1,0.803892,1,7.48553,0.000000000000000999,0.780048,1,0.216728,0,0.566276,1,0.561542,1,3254.4,3254.4,1040,1480,0.000370908,0.0000111
