dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
audiology.arff,class,BaseNEncoder,SGDClassifier,69,149,1.4479496240615846,0.4357761383056641,0.0021946907043457033,0.00014719963073730468,0.0,0.9559743163148186,0.5,0.9753449895477759,0.25187276491624316,0.016698247002754005
audiology.arff,class,BaseNEncoder,LogisticRegression,69,149,1.4479496240615846,0.4357761383056641,0.006257796287536621,0.00018837451934814454,0.4480016162604087,0.9935578294755629,0.9582598039215687,1.0,0.25182797047039573,0.0031848528925423752
audiology.arff,class,BaseNEncoder,SVC,69,149,1.4479496240615846,0.4357761383056641,0.021248221397399902,0.0006733417510986328,0.15742027362427588,1.0,0.8809558823529411,1.0,0.2056909055436555,0.0010224196459912727
audiology.arff,class,BaseNEncoder,KNeighborsClassifier,69,149,1.4479496240615846,0.4357761383056641,0.0011855840682983398,0.002174091339111328,0.08544898801971833,0.7720512769675636,0.7810416666666666,0.9779518436929427,0.1645096932053454,0.06728494486103946
audiology.arff,class,BaseNEncoder,GaussianNB,69,149,1.4479496240615846,0.4357761383056641,0.0015548467636108398,0.0006952285766601562,0.0,0.8965266856591988,0.5,0.9707430340557275,0.25187276491624316,0.04377254854843536
audiology.arff,class,BaseNEncoder,DecisionTreeClassifier,69,149,1.4479496240615846,0.4357761383056641,0.0013279438018798829,0.0001443624496459961,0.4595098834789672,0.9652280503268328,0.7331985294117647,0.9938515866873067,0.2023696295162253,0.012061033698522863
audiology.arff,class,BaseNEncoder,GradientBoostingClassifier,69,149,1.4479496240615846,0.4357761383056641,0.40232439041137696,0.0006228208541870118,0.6756325840210238,1.0,0.9763970588235293,1.0,0.09191761494732216,1.4137297291650954e-07
audiology.arff,class,BaseNEncoder,RandomForestClassifier,69,149,1.4479496240615846,0.4357761383056641,1.0132800340652466,0.052182126045227054,0.5498909628794568,1.0,0.9499754901960784,1.0,0.09217794293242988,0.004174611852815138
audiology.arff,class,BaseNEncoder,MLPClassifier,69,149,1.4479496240615846,0.4357761383056641,0.7680288553237915,0.0005295991897583008,0.012666009927622474,1.0,0.7870588235294117,1.0,0.6739379295245451,0.0008854033099185397
audiology.arff,class,OneHotEncoder,SGDClassifier,69,221,0.8614387512207031,0.5510923147201539,0.0021297454833984373,0.00023813247680664061,0.7960234087325185,0.9749195205885777,0.9041299019607845,0.9833645907755815,0.08120538275404651,0.009675089982917946
audiology.arff,class,OneHotEncoder,LogisticRegression,69,221,0.8614387512207031,0.5510923147201539,0.006804418563842773,0.00017333030700683594,0.8516160884845337,1.0,0.9829411764705883,1.0,0.04424341955956425,0.002334488490767555
audiology.arff,class,OneHotEncoder,SVC,69,221,0.8614387512207031,0.5510923147201539,0.035282444953918454,0.0010466814041137696,0.9173664263220601,1.0,0.9886274509803922,1.0,0.02982789108927055,0.0006902421374334666
audiology.arff,class,OneHotEncoder,KNeighborsClassifier,69,221,0.8614387512207031,0.5510923147201539,0.0010679006576538087,0.0028484821319580077,0.7064246513477539,0.8146637854211279,0.9423529411764706,0.9828788187002196,0.10140974967061925,0.0632085663870258
audiology.arff,class,OneHotEncoder,GaussianNB,69,221,0.8614387512207031,0.5510923147201539,0.0015701532363891601,0.0010674476623535156,0.8221670523192322,0.8965266856591988,0.9247303921568628,0.9707430340557275,0.07671748541313758,0.04377254854843536
audiology.arff,class,OneHotEncoder,DecisionTreeClassifier,69,221,0.8614387512207031,0.5510923147201539,0.0013271331787109374,0.00012519359588623047,0.895224280406976,0.9676369665583806,0.943921568627451,0.9941362113333863,0.0364026177986992,0.011462710572355959
audiology.arff,class,OneHotEncoder,GradientBoostingClassifier,69,221,0.8614387512207031,0.5510923147201539,0.4695923328399658,0.0010040283203125,0.8946637873644969,1.0,0.9913725490196079,1.0,0.033255616701917436,9.42357380199449e-07
audiology.arff,class,OneHotEncoder,RandomForestClassifier,69,221,0.8614387512207031,0.5510923147201539,1.0289265632629394,0.05143961906433105,0.8952450449916739,1.0,0.9949019607843137,1.0,0.028017587539996235,0.0037180746061586958
audiology.arff,class,OneHotEncoder,MLPClassifier,69,221,0.8614387512207031,0.5510923147201539,0.8935197830200196,0.0004286050796508789,0.8743946838132166,1.0,0.9843137254901961,1.0,0.034823629884161926,0.0006866998654333235
